"name","rarity","colorIdentity","types","cmc","score","B","G","R","U","W","quantity"
"Healer of the Glade","common","G","Creature","1",3.1,0,1,0,0,0,0
"Might of the Masses","uncommon","G","Instant","1",4.6,0,1,0,0,0,0
"Sedge Scorpion","common","G","Creature","1",5.73,0,1,0,0,0,0
"Veil of Summer","uncommon","G","Instant","1",3.36,0,1,0,0,0,0
"Barkhide Troll","uncommon","G","Creature","2",7.18,0,1,0,0,0,0
"Greenwood Sentinel","common","G","Creature","2",4.04,0,1,0,0,0,0
"Growth Cycle","common","G","Instant","2",4.46,0,1,0,0,0,0
"Leafkin Druid","common","G","Creature","2",6.14,0,1,0,0,0,0
"Plummet","common","G","Instant","2",3.65,0,1,0,0,0,0
"Rabid Bite","common","G","Sorcery","2",6.98,0,1,0,0,0,0
"Season of Growth","uncommon","G","Enchantment","2",4.86,0,1,0,0,0,0
"Voracious Hydra","rare","G","Creature","2",9.88,0,1,0,0,0,0
"Woodland Champion","uncommon","G","Creature","2",6.07,0,1,0,0,0,0
"Centaur Courser","common","G","Creature","3",5,0,1,0,0,0,0
"Feral Invocation","common","G","Enchantment","3",4.96,0,1,0,0,0,0
"Ferocious Pup","common","G","Creature","3",5.46,0,1,0,0,0,0
"Gift of Paradise","common","G","Enchantment","3",4.99,0,1,0,0,0,0
"Loaming Shaman","uncommon","G","Creature","3",4.63,0,1,0,0,0,0
"Natural End","common","G","Instant","3",2.73,0,1,0,0,0,0
"Netcaster Spider","common","G","Creature","3",5.74,0,1,0,0,0,0
"Overgrowth Elemental","uncommon","G","Creature","3",6.78,0,1,0,0,0,0
"Pulse of Murasa","uncommon","G","Instant","3",4.68,0,1,0,0,0,0
"Thrashing Brontodon","uncommon","G","Creature","3",7.01,0,1,0,0,0,0
"Brightwood Tracker","common","G","Creature","4",5.03,0,1,0,0,0,0
"Leyline of Abundance","rare","G","Enchantment","4",2.37,0,1,0,0,0,0
"Nightpack Ambusher","rare","G","Creature","4",9.32,0,1,0,0,0,0
"Shifting Ceratops","rare","G","Creature","4",8.92,0,1,0,0,0,0
"Thicket Crasher","common","G","Creature","4",5.81,0,1,0,0,0,0
"Vivien, Arkbow Ranger","mythic","G","Planeswalker","4",9.69,0,1,0,0,0,0
"Cavalier of Thorns","mythic","G","Creature","5",8.83,0,1,0,0,0,0
"Mammoth Spider","common","G","Creature","5",5.5,0,1,0,0,0,0
"Overcome","uncommon","G","Sorcery","5",5.52,0,1,0,0,0,0
"Shared Summons","rare","G","Instant","5",5.53,0,1,0,0,0,0
"Silverback Shaman","common","G","Creature","5",7,0,1,0,0,0,0
"Wolfkin Bond","common","G","Enchantment","5",4.63,0,1,0,0,0,0
"Gargos, Vicious Watcher","rare","G","Creature","6",9.78,0,1,0,0,0,0
"Vorstclaw","common","G","Creature","6",4.45,0,1,0,0,0,0
"Wakeroot Elemental","rare","G","Creature","6",6.56,0,1,0,0,0,0
"Howling Giant","uncommon","G","Creature","7",6.88,0,1,0,0,0,0
"Bloodfell Caves","common","Land","Land","0",5.79,1,0,1,0,0,0
"Blossoming Sands","common","Land","Land","0",5.77,0,1,0,0,1,0
"Cryptic Caves","uncommon","Land","Land","0",5.62,0,0,0,0,0,0
"Dismal Backwater","common","Land","Land","0",5.71,1,0,0,1,0,0
"Evolving Wilds","common","Land","Land","0",5.94,0,0,0,0,0,0
"Field of the Dead","rare","Land","Land","0",1.83,0,0,0,0,0,0
"Jungle Hollow","common","Land","Land","0",5.79,1,1,0,0,0,0
"Lotus Field","rare","Land","Land","0",4.81,0,0,0,0,0,0
"Rugged Highlands","common","Land","Land","0",5.72,0,1,1,0,0,0
"Scoured Barrens","common","Land","Land","0",5.77,1,0,0,0,1,0
"Swiftwater Cliffs","common","Land","Land","0",5.72,0,0,1,1,0,0
"Temple of Epiphany","rare","Land","Land","0",6.61,0,0,1,1,0,0
"Temple of Malady","rare","Land","Land","0",6.61,1,1,0,0,0,0
"Temple of Mystery","rare","Land","Land","0",6.63,0,1,0,1,0,0
"Temple of Silence","rare","Land","Land","0",6.62,1,0,0,0,1,0
"Temple of Triumph","rare","Land","Land","0",6.61,0,0,1,0,1,0
"Thornwood Falls","common","Land","Land","0",5.75,0,1,0,1,0,0
"Tranquil Cove","common","Land","Land","0",5.74,0,0,0,1,1,0
"Wind-Scarred Crag","common","Land","Land","0",5.71,0,0,1,0,1,0
"Corpse Knight","uncommon","M","Creature","2",6.98,1,0,0,0,1,0
"Creeping Trailblazer","uncommon","M","Creature","2",7.26,0,1,1,0,0,0
"Lightning Stormkin","uncommon","M","Creature","2",7.22,0,0,1,1,0,0
"Skyknight Vanguard","uncommon","M","Creature","2",7.35,0,0,1,0,1,0
"Empyrean Eagle","uncommon","M","Creature","3",8.25,0,0,0,1,1,0
"Ironroot Warlord","uncommon","M","Creature","3",7.96,0,1,0,0,1,0
"Kaalia, Zenith Seeker","mythic","M","Creature","3",6.67,1,0,1,0,1,0
"Kethis, the Hidden Hand","mythic","M","Creature","3",4.45,1,1,0,0,1,0
"Risen Reef","uncommon","M","Creature","3",8.09,0,1,0,1,0,0
"Tomebound Lich","uncommon","M","Creature","3",7.74,1,0,0,1,0,0
"Kykar, Wind's Fury","mythic","M","Creature","4",7.84,0,0,1,1,1,0
"Ogre Siegebreaker","uncommon","M","Creature","4",6.72,1,0,1,0,0,0
"Omnath, Locus of the Roil","mythic","M","Creature","4",8.77,0,1,1,1,0,0
"Moldervine Reclamation","uncommon","M","Enchantment","5",6.4,1,1,0,0,0,0
"Yarok, the Desecrated","mythic","M","Creature","5",8.14,1,1,0,1,0,0
"Infuriate","common","R","Instant","1",5.02,0,0,1,0,0,0
"Reckless Air Strike","common","R","Sorcery","1",3.46,0,0,1,0,0,0
"Scorch Spitter","common","R","Creature","1",3.07,0,0,1,0,0,0
"Shock","common","R","Instant","1",7.09,0,0,1,0,0,0
"Chandra's Embercat","common","R","Creature","2",5.31,0,0,1,0,0,0
"Ember Hauler","uncommon","R","Creature","2",6.68,0,0,1,0,0,0
"Fry","uncommon","R","Instant","2",4.63,0,0,1,0,0,0
"Goblin Bird-Grabber","common","R","Creature","2",4.51,0,0,1,0,0,0
"Maniacal Rage","common","R","Enchantment","2",2.97,0,0,1,0,0,0
"Marauding Raptor","rare","R","Creature","2",5.57,0,0,1,0,0,0
"Pack Mastiff","common","R","Creature","2",4.85,0,0,1,0,0,0
"Thunderkin Awakener","rare","R","Creature","2",4.35,0,0,1,0,0,0
"Unchained Berserker","uncommon","R","Creature","2",4.8,0,0,1,0,0,0
"Act of Treason","common","R","Sorcery","3",3.44,0,0,1,0,0,0
"Chandra's Spitfire","uncommon","R","Creature","3",5.41,0,0,1,0,0,0
"Chandra, Acolyte of Flame","rare","R","Planeswalker","3",7.37,0,0,1,0,0,0
"Destructive Digger","common","R","Creature","3",4.97,0,0,1,0,0,0
"Flame Sweep","uncommon","R","Instant","3",6.57,0,0,1,0,0,0
"Glint-Horn Buccaneer","rare","R","Creature","3",7.43,0,0,1,0,0,0
"Goblin Smuggler","common","R","Creature","3",5.28,0,0,1,0,0,0
"Uncaged Fury","uncommon","R","Instant","3",5.28,0,0,1,0,0,0
"Chandra's Outrage","common","R","Instant","4",7.39,0,0,1,0,0,0
"Chandra, Novice Pyromancer","uncommon","R","Planeswalker","4",8.15,0,0,1,0,0,0
"Daggersail Aeronaut","common","R","Creature","4",4.99,0,0,1,0,0,0
"Goblin Ringleader","uncommon","R","Creature","4",4.35,0,0,1,0,0,0
"Keldon Raider","common","R","Creature","4",5.56,0,0,1,0,0,0
"Lavakin Brawler","common","R","Creature","4",5.43,0,0,1,0,0,0
"Leyline of Combustion","rare","R","Enchantment","4",2.61,0,0,1,0,0,0
"Repeated Reverberation","rare","R","Instant","4",3.42,0,0,1,0,0,0
"Scampering Scorcher","uncommon","R","Creature","4",5.75,0,0,1,0,0,0
"Tectonic Rift","common","R","Sorcery","4",1.71,0,0,1,0,0,0
"Cavalier of Flame","mythic","R","Creature","5",9.91,0,0,1,0,0,0
"Fire Elemental","common","R","Creature","5",3.26,0,0,1,0,0,0
"Rapacious Dragon","uncommon","R","Creature","5",6.45,0,0,1,0,0,0
"Reduce to Ashes","common","R","Sorcery","5",5.89,0,0,1,0,0,0
"Chandra, Awakened Inferno","mythic","R","Planeswalker","6",11.34,0,0,1,0,0,0
"Ripscale Predator","common","R","Creature","6",5.13,0,0,1,0,0,0
"Dragon Mage","uncommon","R","Creature","7",5.12,0,0,1,0,0,0
"Drakuseth, Maw of Flames","rare","R","Creature","7",9.82,0,0,1,0,0,0
"Faerie Miscreant","common","U","Creature","1",3.56,0,0,0,1,0,0
"Hard Cover","uncommon","U","Enchantment","1",3.57,0,0,0,1,0,0
"Spectral Sailor","uncommon","U","Creature","1",7.2,0,0,0,1,0,0
"Unsummon","common","U","Instant","1",5.72,0,0,0,1,0,0
"Aether Gust","uncommon","U","Instant","2",3.96,0,0,0,1,0,0
"Anticipate","common","U","Instant","2",4.52,0,0,0,1,0,0
"Brineborn Cutthroat","uncommon","U","Creature","2",6.05,0,0,0,1,0,0
"Cerulean Drake","uncommon","U","Creature","2",4.49,0,0,0,1,0,0
"Metropolis Sprite","common","U","Creature","2",4.79,0,0,0,1,0,0
"Moat Piranhas","common","U","Creature","2",3.97,0,0,0,1,0,0
"Negate","common","U","Instant","2",3.64,0,0,0,1,0,0
"Renowned Weaponsmith","uncommon","U","Creature","2",4,0,0,0,1,0,0
"Tale's End","rare","U","Instant","2",2.09,0,0,0,1,0,0
"Zephyr Charge","common","U","Enchantment","2",3.16,0,0,0,1,0,0
"Befuddle","common","U","Instant","3",3.97,0,0,0,1,0,0
"Cloudkin Seer","common","U","Creature","3",7.48,0,0,0,1,0,0
"Convolute","common","U","Instant","3",3.82,0,0,0,1,0,0
"Frost Lynx","common","U","Creature","3",6.37,0,0,0,1,0,0
"Mu Yanling, Sky Dancer","mythic","U","Planeswalker","3",9.61,0,0,0,1,0,0
"Sage's Row Denizen","common","U","Creature","3",3.65,0,0,0,1,0,0
"Warden of Evos Isle","uncommon","U","Creature","3",6.82,0,0,0,1,0,0
"Winged Words","common","U","Sorcery","3",6.74,0,0,0,1,0,0
"Bone to Ash","common","U","Instant","4",4.56,0,0,0,1,0,0
"Drawn from Dreams","rare","U","Sorcery","4",7.49,0,0,0,1,0,0
"Dungeon Geists","rare","U","Creature","4",9.41,0,0,0,1,0,0
"Fortress Crab","common","U","Creature","4",3.06,0,0,0,1,0,0
"Leyline of Anticipation","rare","U","Enchantment","4",3.41,0,0,0,1,0,0
"Octoprophet","common","U","Creature","4",5.51,0,0,0,1,0,0
"Sleep Paralysis","common","U","Enchantment","4",6.41,0,0,0,1,0,0
"Yarok's Wavecrasher","uncommon","U","Creature","4",5.75,0,0,0,1,0,0
"Air Elemental","uncommon","U","Creature","5",7.68,0,0,0,1,0,0
"Boreal Elemental","common","U","Creature","5",6.5,0,0,0,1,0,0
"Cavalier of Gales","mythic","U","Creature","5",10.49,0,0,0,1,0,0
"Atemsis, All-Seeing","rare","U","Creature","6",8.64,0,0,0,1,0,0
"Captivating Gyre","uncommon","U","Sorcery","6",5.96,0,0,0,1,0,0
"Flood of Tears","rare","U","Sorcery","6",6.9,0,0,0,1,0,0
"Frilled Sea Serpent","common","U","Creature","6",4.06,0,0,0,1,0,0
"Masterful Replication","rare","U","Instant","6",6.28,0,0,0,1,0,0
"Agent of Treachery","rare","U","Creature","7",8.37,0,0,0,1,0,0
"Scholar of the Ages","uncommon","U","Creature","7",5.24,0,0,0,1,0,0
"Glaring Aegis","common","W","Enchantment","1",3.87,0,0,0,0,1,0
"Gods Willing","uncommon","W","Instant","1",6.22,0,0,0,0,1,0
"Loyal Pegasus","uncommon","W","Creature","1",5.69,0,0,0,0,1,0
"Soulmender","common","W","Creature","1",2.94,0,0,0,0,1,0
"Yoked Ox","common","W","Creature","1",2,0,0,0,0,1,0
"Angelic Gift","common","W","Enchantment","2",3.87,0,0,0,0,1,0
"Apostle of Purifying Light","uncommon","W","Creature","2",4.64,0,0,0,0,1,0
"Bishop of Wings","rare","W","Creature","2",4.74,0,0,0,0,1,0
"Brought Back","rare","W","Instant","2",5.86,0,0,0,0,1,0
"Daybreak Chaplain","common","W","Creature","2",4.15,0,0,0,0,1,0
"Devout Decree","uncommon","W","Sorcery","2",4.49,0,0,0,0,1,0
"Disenchant","common","W","Instant","2",2.61,0,0,0,0,1,0
"Eternal Isolation","uncommon","W","Sorcery","2",5.9,0,0,0,0,1,0
"Fencing Ace","uncommon","W","Creature","2",4.93,0,0,0,0,1,0
"Moment of Heroism","common","W","Instant","2",4.42,0,0,0,0,1,0
"Moorland Inquisitor","common","W","Creature","2",4.85,0,0,0,0,1,0
"Pacifism","common","W","Enchantment","2",8.57,0,0,0,0,1,0
"Raise the Alarm","common","W","Instant","2",6.08,0,0,0,0,1,0
"Starfield Mystic","rare","W","Creature","2",4.79,0,0,0,0,1,0
"Aerial Assault","common","W","Sorcery","3",5.62,0,0,0,0,1,0
"Angel of Vitality","uncommon","W","Creature","3",6.62,0,0,0,0,1,0
"Battalion Foot Soldier","common","W","Creature","3",4.39,0,0,0,0,1,0
"Gauntlets of Light","uncommon","W","Enchantment","3",3.2,0,0,0,0,1,0
"Griffin Sentinel","common","W","Creature","3",4.34,0,0,0,0,1,0
"Hanged Executioner","rare","W","Creature","3",8.3,0,0,0,0,1,0
"Rule of Law","uncommon","W","Enchantment","3",1.4,0,0,0,0,1,0
"Steadfast Sentry","common","W","Creature","3",5.73,0,0,0,0,1,0
"Ajani, Strength of the Pride","mythic","W","Planeswalker","4",9.92,0,0,0,0,1,0
"Griffin Protector","common","W","Creature","4",6.07,0,0,0,0,1,0
"Inspired Charge","common","W","Instant","4",3.98,0,0,0,0,1,0
"Inspiring Captain","common","W","Creature","4",4.88,0,0,0,0,1,0
"Leyline of Sanctity","rare","W","Enchantment","4",1.43,0,0,0,0,1,0
"Master Splicer","uncommon","W","Creature","4",7.52,0,0,0,0,1,0
"Cavalier of Dawn","mythic","W","Creature","5",9.58,0,0,0,0,1,0
"Dawning Angel","common","W","Creature","5",5.35,0,0,0,0,1,0
"Squad Captain","common","W","Creature","5",5.17,0,0,0,0,1,0
"Herald of the Sun","uncommon","W","Creature","6",6.99,0,0,0,0,1,0
"Loxodon Lifechanter","rare","W","Creature","6",7.58,0,0,0,0,1,0
"Planar Cleansing","rare","W","Sorcery","6",8.01,0,0,0,0,1,0
"Sephara, Sky's Blade","rare","W","Creature","7",9.42,0,0,0,0,1,0
