"name","rarity","colorIdentity","types","cmc","score","B","G","R","U","W","quantity"
"Light Up the Stage","uncommon","R","Sorcery","3",5.75,0,0,1,0,0,0
"Skewer the Critics","common","R","Sorcery","3",8.32,0,0,1,0,0,0
"Amplifire","rare","R","Creature","4",4.93,0,0,1,0,0,0
"Dagger Caster","uncommon","R","Creature","4",6.25,0,0,1,0,0,0
"Ghor-Clan Wrecker","common","R","Creature","4",5.18,0,0,1,0,0,0
"Rubble Reading","common","R","Sorcery","4",1.19,0,0,1,0,0,0
"Spikewheel Acrobat","common","R","Creature","4",4.09,0,0,1,0,0,0
"Rubblebelt Recluse","common","R","Creature","5",5.32,0,0,1,0,0,0
"Skarrgan Hellkite","mythic","R","Creature","5",10.93,0,0,1,0,0,0
"Flames of the Raze-Boar","uncommon","R","Instant","6",7.03,0,0,1,0,0,0
"Mirror March","rare","R","Enchantment","6",3.62,0,0,1,0,0,0
"Rumbling Ruin","uncommon","R","Creature","6",6.35,0,0,1,0,0,0
"Benthic Biomancer","rare","U","Creature","1",6.47,0,0,0,1,0,0
"Pteramander","uncommon","U","Creature","1",6.28,0,0,0,1,0,0
"Essence Capture","uncommon","U","Instant","2",6.08,0,0,0,1,0,0
"Faerie Duelist","common","U","Creature","2",5.86,0,0,0,1,0,0
"Persistent Petitioners","common","U","Creature","2",3.31,0,0,0,1,0,0
"Quench","common","U","Instant","2",5.47,0,0,0,1,0,0
"Sage's Row Savant","common","U","Creature","2",5.65,0,0,0,1,0,0
"Shimmer of Possibility","common","U","Sorcery","2",4.83,0,0,0,1,0,0
"Slimebind","common","U","Enchantment","2",5.18,0,0,0,1,0,0
"Wall of Lost Thoughts","uncommon","U","Creature","2",3.08,0,0,0,1,0,0
"Arrester's Admonition","common","U","Instant","3",5.74,0,0,0,1,0,0
"Clear the Mind","common","U","Sorcery","3",1.3,0,0,0,1,0,0
"Code of Constraint","uncommon","U","Instant","3",5.22,0,0,0,1,0,0
"Coral Commando","common","U","Creature","3",3.11,0,0,0,1,0,0
"Eyes Everywhere","uncommon","U","Enchantment","3",5.27,0,0,0,1,0,0
"Gateway Sneak","uncommon","U","Creature","3",5.57,0,0,0,1,0,0
"Thought Collapse","common","U","Instant","3",4.34,0,0,0,1,0,0
"Verity Circle","rare","U","Enchantment","3",4.8,0,0,0,1,0,0
"Mass Manipulation","rare","U","Sorcery","4",7.03,0,0,0,1,0,0
"Skatewing Spy","uncommon","U","Creature","4",7.25,0,0,0,1,0,0
"Skitter Eel","common","U","Creature","4",5.67,0,0,0,1,0,0
"Sphinx of Foresight","rare","U","Creature","4",9.93,0,0,0,1,0,0
"Chillbringer","common","U","Creature","5",6.49,0,0,0,1,0,0
"Humongulus","common","U","Creature","5",4.65,0,0,0,1,0,0
"Mesmerizing Benthid","mythic","U","Creature","5",9.74,0,0,0,1,0,0
"Precognitive Perception","rare","U","Instant","5",8.18,0,0,0,1,0,0
"Windstorm Drake","uncommon","U","Creature","5",7.11,0,0,0,1,0,0
"Prying Eyes","common","U","Instant","6",5.19,0,0,0,1,0,0
"Swirling Torrent","uncommon","U","Sorcery","6",6.19,0,0,0,1,0,0
"Arrester's Zeal","common","W","Instant","1",5.18,0,0,0,0,1,0
"Resolute Watchdog","uncommon","W","Creature","1",4.95,0,0,0,0,1,0
"Sky Tether","uncommon","W","Enchantment","1",5.78,0,0,0,0,1,0
"Concordia Pegasus","common","W","Creature","2",4.75,0,0,0,0,1,0
"Hero of Precinct One","rare","W","Creature","2",7.34,0,0,0,0,1,0
"Impassioned Orator","common","W","Creature","2",5.64,0,0,0,0,1,0
"Justiciar's Portal","common","W","Instant","2",4.18,0,0,0,0,1,0
"Prowling Caracal","common","W","Creature","2",3.54,0,0,0,0,1,0
"Sentinel's Mark","uncommon","W","Enchantment","2",5,0,0,0,0,1,0
"Summary Judgment","common","W","Instant","2",7.24,0,0,0,0,1,0
"Tithe Taker","rare","W","Creature","2",6.93,0,0,0,0,1,0
"Bring to Trial","common","W","Sorcery","3",5.6,0,0,0,0,1,0
"Expose to Daylight","common","W","Instant","3",2.76,0,0,0,0,1,0
"Forbidding Spirit","uncommon","W","Creature","3",6.78,0,0,0,0,1,0
"Haazda Officer","common","W","Creature","3",4.95,0,0,0,0,1,0
"Ministrant of Obligation","uncommon","W","Creature","3",7.25,0,0,0,0,1,0
"Tenth District Veteran","common","W","Creature","3",5.31,0,0,0,0,1,0
"Unbreakable Formation","rare","W","Instant","3",7.33,0,0,0,0,1,0
"Angelic Exaltation","uncommon","W","Enchantment","4",5.09,0,0,0,0,1,0
"Civic Stalwart","common","W","Creature","4",5.74,0,0,0,0,1,0
"Rally to Battle","uncommon","W","Instant","4",4.29,0,0,0,0,1,0
"Smothering Tithe","rare","W","Enchantment","4",3.42,0,0,0,0,1,0
"Spirit of the Spires","uncommon","W","Creature","4",6.68,0,0,0,0,1,0
"Syndicate Messenger","common","W","Creature","4",6.27,0,0,0,0,1,0
"Angel of Grace","mythic","W","Creature","5",10.73,0,0,0,0,1,0
"Knight of Sorrows","common","W","Creature","5",4.33,0,0,0,0,1,0
"Lumbering Battlement","rare","W","Creature","5",7.68,0,0,0,0,1,0
"Archway Angel","uncommon","W","Creature","6",5.1,0,0,0,0,1,0
"Watchful Giant","common","W","Creature","6",3.82,0,0,0,0,1,0
